number,title,slug,url,difficulty,tags,submission_id,submitted_at,language,runtime,memory,code_path,leetcode_notes,raw_comments,thought_process,notes,core_insight,pattern,mistakes,edge_cases,time_complexity,space_complexity,review_state,next_review,last_review,stability,fsrs_difficulty,retrievability,reps,lapses
1,Two Sum,two-sum,https://leetcode.com/problems/two-sum/,Easy,"Array, Hash Table",1833882558,2025-11-19T05:14:41+00:00,python3,0 ms,19 MB,1-two-sum.py,,,,,,,,,,,new,,,,,,0,0
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,"Hash Table, String, Sliding Window",1834855306,2025-11-20T05:27:35+00:00,python3,6 ms,18 MB,3-longest-substring-without-repeating-characters.py,[ Time taken: 8 hrs 13 m 3 s ],,,,,,,,,,new,,,,,,0,0
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,"Hash Table, String, Sliding Window",1834867241,2025-11-20T05:44:56+00:00,python3,15 ms,17.7 MB,3-longest-substring-without-repeating-characters.py,,,,,,,,,,,new,,,,,,0,0
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,Medium,"Hash Table, String, Sliding Window",2080887473,2026-07-25T15:11:26+00:00,python3,11 ms,19.2 MB,3-longest-substring-without-repeating-characters.py,,"variable window, we keep track of the longest 
substring without a repeating character as a window
and when we get to a repeating character, expand right and shrink the left until its valid again ",,,,,,,,,new,,,,,,0,0
5,Longest Palindromic Substring,longest-palindromic-substring,https://leetcode.com/problems/longest-palindromic-substring/,Medium,"Two Pointers, String, Dynamic Programming, Manacher",1833873930,2025-11-19T05:04:01+00:00,python3,257 ms,18.1 MB,5-longest-palindromic-substring.py,,,,,,,,,,,new,,,,,,0,0
8,String to Integer (atoi),string-to-integer-atoi,https://leetcode.com/problems/string-to-integer-atoi/,Medium,String,1871773775,2026-01-02T07:38:30+00:00,python3,3 ms,17.2 MB,8-string-to-integer-atoi.py,,,,,,,,,,,new,,,,,,0,0
8,String to Integer (atoi),string-to-integer-atoi,https://leetcode.com/problems/string-to-integer-atoi/,Medium,String,1871773941,2026-01-02T07:38:41+00:00,python3,4 ms,17.2 MB,8-string-to-integer-atoi.py,,,,,,,,,,,new,,,,,,0,0
8,String to Integer (atoi),string-to-integer-atoi,https://leetcode.com/problems/string-to-integer-atoi/,Medium,String,1871774364,2026-01-02T07:39:11+00:00,python3,0 ms,17.2 MB,8-string-to-integer-atoi.py,,,,,,,,,,,new,,,,,,0,0
11,Container With Most Water,container-with-most-water,https://leetcode.com/problems/container-with-most-water/,Medium,"Array, Two Pointers, Greedy",1835659706,2025-11-21T03:31:04+00:00,python3,103 ms,28.5 MB,11-container-with-most-water.py,,,,,,,,,,,new,,,,,,0,0
11,Container With Most Water,container-with-most-water,https://leetcode.com/problems/container-with-most-water/,Medium,"Array, Two Pointers, Greedy",1835659834,2025-11-21T03:31:17+00:00,python3,104 ms,28.5 MB,11-container-with-most-water.py,,,,,,,,,,,new,,,,,,0,0
15,3Sum,3sum,https://leetcode.com/problems/3sum/,Medium,"Array, Two Pointers, Sorting",1874633682,2026-01-04T20:27:33+00:00,python3,570 ms,20.3 MB,15-3sum.py,,,,,,,,,,,new,,,,,,0,0
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,"Hash Table, String, Backtracking",1874637479,2026-01-04T20:34:45+00:00,python3,0 ms,17.3 MB,17-letter-combinations-of-a-phone-number.py,,"base case
loop through",,,,,,,,,new,,,,,,0,0
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,"Hash Table, String, Backtracking",2086185717,2026-07-29T13:45:08+00:00,python3,0 ms,19.5 MB,17-letter-combinations-of-a-phone-number.py,[ Time taken: 13hrs 48m 25s ],"select one letter for every digit
Try every letter mapped to the current digit",,,,,,,,,new,,,,,,0,0
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/,Medium,"Hash Table, String, Backtracking",2086188385,2026-07-29T13:47:09+00:00,python3,0 ms,19.4 MB,17-letter-combinations-of-a-phone-number.py,,"select one letter for every digit
Try every letter mapped to the current digit",,,,,,,,,new,,,,,,0,0
20,Valid Parentheses,valid-parentheses,https://leetcode.com/problems/valid-parentheses/,Easy,"String, Stack, Bracket Sequences",1839188382,2025-11-25T07:11:46+00:00,python3,2 ms,18.1 MB,20-valid-parentheses.py,,"makes sure the stacks always starts with the proper opening parenthesis
if we come across a closing parenthesis",,,,,,,,,new,,,,,,0,0
